name,price,side_effects,used_for
Lonazep 0.25 Tablet,₹ 30.57,"Depression,Dizziness,Drowsiness,Fatigue,Impaired coordination,","Treatment of Anxiety disorder,Treatment of Epilepsy/Seizures,"
Lizolid 600 Tablet,₹ 333,"Vomiting,Headache,Nausea,Decreased blood cells (red cells, white cells, and platelets),Diarrhea,","Severe bacterial infections,"
Librium 10 Tablet,₹ 106.69,"Lightheadedness,Drowsiness,Sedation,Dizziness,Uncoordinated body movements,Fatigue,Unsteadiness,Balance disorder (loss of balance),","Severe anxiety,Alcohol withdrawal,"
Lulifin Cream,₹ 299,"Application site reactions (burning, irritation, itching and redness),Dry skin,Skin peeling,Blisters on skin,","Fungal skin infections,"
Lopamide Tablet,₹ 21.10,"Constipation,Nausea,Headache,Stomach pain,","Diarrhea,"
Lanoxin Tablet,₹ 13.28,"Visual impairment,Skin rash,Nausea,Vomiting,Diarrhea,Dizziness,Arrhythmia (irregular heartbeats),","Heart failure,Arrhythmia,"
Lubrex Eye Drop,₹ 112.90,"Eye irritation,Burning eyes,Eye discomfort,Eye itching,Eye pain,","Dry eyes,"
Lomotil Tablet,₹ 21.05,"Indigestion,Constipation,Dryness in mouth,Cough,Flushing of skin,Blurred vision,Drowsiness,Dizziness,Confusion,Difficulty in urination,Bronchoconstriction (constriction of air passages),","Diarrhea,"
Lariago 250mg Tablet,₹ 12.39,"Rash,Headache,Dizziness,Vomiting,","Malaria,"
Losar 50 Tablet,₹ 107.85,"Dizziness,Decreased blood pressure,Hypoglycemia (low blood glucose level),Increased potassium level in blood,Increased blood urea,","Hypertension (high blood pressure),Heart failure,Prevention of heart attack and stroke,"
Lantus Solostar 100IU/ml Solution for Injection,"₹ 1,099.11","Hypoglycemia (low blood glucose level),Injection site allergic reaction,Lipodystrophy (skin thickening or pits at the injection site),","Diabetes mellitus (Type 1 & Type 2),"
Losar-H Tablet,₹ 210.35,"Nausea,Taste change,Upset stomach,Diarrhea,Headache,Dizziness,Weakness,Decreased blood pressure,Increased blood uric acid,Increased blood lipid level,Glucose intolerance,Electrolyte imbalance,","Hypertension (high blood pressure),"
Lasix Injection,₹ 11.09,"Dizziness,Weakness,Dehydration,Decreased potassium level in blood,Increased blood uric acid,Decreased magnesium level in blood,Increased thirst,","Treatment of Hypertensive emergency,Treatment of Edema,"
Lulican Cream,₹ 375,"Application site reactions (burning, irritation, itching and redness),Dry skin,Skin peeling,Blisters on skin,","Fungal skin infections,"
Doxy 1 Tablet,₹ 91,"Vomiting,Nausea,Diarrhea,","Treatment of Bacterial infections,Treatment of Acne,"
Dapanorm 10mg Tablet,₹ 175,"Fungal infection of vagina,Nasopharyngitis (inflammation of the throat and nasal passages),Urinary tract infection,","Type 2 diabetes mellitus,"
Drotin Tablet,₹ 59.32,"Nausea,Vomiting,Dryness in mouth,Vertigo,","Pain relief,"
Deriphyllin Injection,₹ 74.50,"Nausea,Vomiting,Headache,Restlessness,","Asthma,Chronic obstructive pulmonary disease (COPD),"
Dart Tablet,₹ 28.80,"Increased heart rate,Restlessness,","Headache,"
Dytor Plus 5 Tablet,₹ 71.87,"Dehydration,Decreased magnesium level in blood,Decreased sodium level in blood,Increased blood uric acid,Breast enlargement in male,Decreased calcium level in blood,","Edema,"
Diominic Dca Tablet,₹ 34.80,"Nausea,Vomiting,Insomnia (difficulty in sleeping),Restlessness,Allergic reaction,Headache,Sleepiness,","Common cold symptoms,"
Deplatt-CV  20 Capsule,₹ 96.15,"Increased bleeding tendency,Abdominal pain,Indigestion,Bruise,Nosebleeds,Gastrointestinal bleeding,Diarrhea,","Prevention of Heart attack,"
Dronis 30 Tablet,₹ 490,"Nausea,Stomach pain,Headache,Weight gain,Breast pain,Irregular uterine bleeding,","Contraception,"
Dolopar 650 Tablet,₹ 30.74,"Stomach pain,Nausea,Vomiting,","Pain relief,Fever,"
Deriphyllin Tablet,₹ 17,"Nausea,Vomiting,Headache,Restlessness,","Asthma,Chronic obstructive pulmonary disease (COPD),"
Dilzem 30 Tablet CR,₹ 40.05,"Headache,Constipation,Dizziness,Fatigue,Flushing (sense of warmth in the face, ears, neck and trunk),Nausea,Rash,","Hypertension (high blood pressure),Angina (heart-related chest pain),Arrhythmia,"
Dapamac 10mg Tablet,₹ 142,"Fungal infection of vagina,Nasopharyngitis (inflammation of the throat and nasal passages),Urinary tract infection,","Type 2 diabetes mellitus,"
Daily Iron Tablet,₹ 50,"Nausea,Vomiting,Upset stomach,","Treatment of Iron deficiency,Treatment of Anemia,"
Disperzyme Tablet,₹ 650,"No common side effects seen,","Pain relief,"
Domstal Suspension,₹ 35.90,"Dryness in mouth,Headache,Drowsiness,Stomach cramp,Diarrhea,","Treatment of Indigestion,Treatment of Gastroesophageal reflux disease (Acid reflux),Treatment of Nausea,Treatment of Vomiting,"
Divaa -OD 500 Tablet ER,₹ 138,"Headache,Dizziness,Blurred vision,Weakness,Abdominal pain,Infection,Nausea,Vomiting,Sleepiness,Hair loss,Weight gain,Double vision,Diarrhea,Tremor,Weight loss,Flu-like symptoms,","Epilepsy/Seizures,Bipolar disorder,Prevention of Migraine,"
Decdan 0.5mg Tablet,₹ 2.13,"Cardiovascular complications,Electrolyte imbalance,Gastrointestinal disorder,Metabolic disorder,Musculoskeletal (bone, muscle or joint) pain,Neurological disorder,Infection,Hiccup,Decreased sperm count,Feeling of discomfort,Cushing syndrome,Weight gain,","Inflammatory conditions,Autoimmune conditions,Cancer,"
Doxcef 200 Tablet,₹ 153.40,"Rash,Nausea,Diarrhea,","Bacterial infections,"
Drotin Injection 2ml,₹ 258.40,"Nausea,Vomiting,Dryness in mouth,Vertigo,","Pain relief,"
Dolokind Plus Tablet,₹ 51.49,"Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,","Pain relief,"
Deplatt-CV  Capsule,₹ 70.90,"Increased bleeding tendency,Abdominal pain,Indigestion,Bruise,Nosebleeds,Gastrointestinal bleeding,Diarrhea,","Prevention of Heart attack,"
Duonem 300 ER Tablet,₹ 761,"Rash,Nausea,Abdominal pain,Diarrhea,","Severe bacterial infections,"
Dizitac Tablet,₹ 104,"Drowsiness,Headache,Stomach pain,Dryness in mouth,","Vertigo,"
Doxy T 100mg Tablet,₹ 35,"Vomiting,Nausea,Diarrhea,","Treatment of Bacterial infections,Treatment of Acne,"
Dologel-CT Gel,₹ 77.50,"No common side effects seen,","Treatment of Mouth ulcers,"
Dologel,₹ 82.25,"No common side effects seen,","Treatment of Mouth ulcers,"
Diamicron XR Mex 500 Tablet,₹ 217,"Hypoglycemia (low blood glucose level),Taste change,Nausea,Diarrhea,Stomach pain,Headache,Upper respiratory tract infection,","Type 2 diabetes mellitus,"
Duraplus Tablet,₹ 288,"Nausea,Vomiting,Indigestion,Headache,Flushing (sense of warmth in the face, ears, neck and trunk),Dizziness,Nosebleeds,Dryness in mouth,","Treatment of Premature ejaculation,"
Donep 5 Tablet,₹ 188.25,"Nausea,Diarrhea,Insomnia (difficulty in sleeping),Vomiting,Muscle cramp,Fatigue,Weight loss,","Alzheimer's disease,"
Bilazap Tablet,₹ 129,"Headache,Drowsiness,","Treatment of Allergic conditions,"
Bupron SR 150 Tablet,₹ 130.50,"Insomnia (difficulty in sleeping),Allergic reaction,Impaired concentration,Sweating,Headache,Nausea,Vomiting,Dizziness,Dryness in mouth,Taste change,Abdominal pain,Agitation,Anxiety,Fever,Constipation,Tremor,","Depression,Smoking addiction,"
Benalgis Forte Soft Gelatin Capsule,₹ 207.69,"Dizziness,Sleepiness,Tiredness,Uncoordinated body movements,","Neuropathic pain,"
Bactafuz Cream,₹ 49.70,"Application site reactions (burning, irritation, itching and redness),","Bacterial skin infections,"
Brutaflam 90mg Tablet,₹ 106.28,"Abdominal pain,Flu-like symptoms,Indigestion,Diarrhea,Flatulence,Headache,Dizziness,Palpitations,Arrhythmia (irregular heartbeats),Vomiting,Nausea,Edema (swelling),Fatigue,High blood pressure,Bruise,Constipation,Oral ulcer,Bronchospasm,Increased liver enzymes,Esophagitis,","Pain relief,"
Bonista Cartridge,"₹ 7,117.50","Joint pain,Injection site reactions (pain, swelling, redness),Nausea,Leg cramps,","Osteoporosis,"
Britzilam 50 Tablet,₹ 208.60,"Dizziness,Nausea,Sleepiness,Vomiting,Irritation,Behavioural changes,Headache,Agitation,Aggressive behavior,","Epilepsy/Seizures,"
Brufen 600 Tablet,₹ 28.96,"Vomiting,Stomach pain,Nausea,Indigestion,Heartburn,","Pain relief,Fever,"
Benzonix Gel Wash,₹ 135,"Itching,Dry skin,Burning sensation,Erythema (skin redness),Skin peeling,Stinging sensation,","Acne,"
Bigomet SR 500 Tablet,₹ 15.79,"Nausea,Vomiting,Taste change,Diarrhea,Abdominal pain,Loss of appetite,","Type 2 diabetes mellitus,"
Bisonext 2.5mg Tablet,₹ 87.75,"Nausea,Headache,Slow heart rate,Fatigue,Constipation,Diarrhea,Dizziness,Cold extremities,","Treatment of Hypertension (high blood pressure),Treatment of Angina (heart-related chest pain),Treatment of Arrhythmia,Prevention of Heart attack,Prevention of Migraine,"
Bispec 5 Tablet,₹ 585.50,"Dryness in mouth,Constipation,Blurred vision,Nausea,Upset stomach,Urinary tract infection,","Treatment of Overactive bladder (OAB) symptoms,"
Biotax 1gm Injection,₹ 37.75,"Rash,Allergic reaction,Nausea,Injection site reaction,Diarrhea,","Bacterial infections,"
Budecort 1mg Respules 2 ml,₹ 119.45,"Difficulty in swallowing,Throat irritation,Fungal infection of mouth,Fungal infection of oropharynx,","Treatment and prevention of Asthma,"
B Bact Ointment,₹ 131.95,"Application site reactions (burning, irritation, itching and redness),","Bacterial skin infections,"
Buscogast 20mg Injection,₹ 11.43,"Blurred vision,Increased heart rate,Dryness in mouth,Diarrhea,Dilatation of pupil,","Treatment of Pain due to smooth muscle spasm,Treatment of Irritable bowel syndrome,"
Bonmax PTH 750mcg Solution for Injection,"₹ 8,333.80","Joint pain,Injection site reactions (pain, swelling, redness),Nausea,Leg cramps,","Osteoporosis,"
Baralgan NU Tablet,₹ 35.36,"Nausea,Dryness in mouth,Blurred vision,Sleepiness,Weakness,Nervousness,","Abdominal pain,"
Benizep Capsule SR,₹ 149,"Sleepiness,Drowsiness,Fatigue,Confusion,Uncoordinated body movements,Abnormality of voluntary movements,Skin rash,Slurred speech,","Irritable bowel syndrome,"
Bendex 400 Tablet,₹ 8.59,"Vomiting,Dizziness,Increased liver enzymes,Nausea,Loss of appetite,","Treatment of Parasitic infections,"
Bisoheart 5mg Tablet,₹ 79.64,"Nausea,Headache,Slow heart rate,Fatigue,Constipation,Diarrhea,Dizziness,Cold extremities,","Treatment of Hypertension (high blood pressure),Treatment of Angina (heart-related chest pain),Treatment of Arrhythmia,Prevention of Heart attack,Prevention of Migraine,"
Bacstol Tablet,₹ 79.70,"Skin rash,Vomiting,Mouth ulcer,Hives,Feeling sick,Headache,Anemia (low number of red blood cells),Nausea,Diarrhea,","Bacterial infections,"
Beltas Tablet,₹ 129,"Headache,Drowsiness,","Treatment of Allergic conditions,"
Bosentas 62.5 Tablet,₹ 897.13,"Headache,Ankle swelling,Edema (swelling),Diarrhea,Anemia (low number of red blood cells),Respiratory tract infection,","Pulmonary arterial hypertension (PAH),"
Bilazap M 20mg/10mg Tablet,₹ 152,"Limited data available,","Treatment of Allergic conditions,"
Bromhexine Elixir,₹ 118.35,"Irritation of ear,Allergic skin rash,Dizziness,Headache,","Treatment of Respiratory tract disorders associated with viscid mucus,"
Brinzotim Eye Drop,₹ 425,"Itching,Irritation,Stinging sensation,Burning sensation in eye,Blurred vision,Eye redness,Taste change,","Ocular hypertension,Glaucoma,"
Betoact Eye Drops,₹ 233,"Taste change,Eye irritation,Headache,Nasopharyngitis (inflammation of the throat and nasal passages),","Allergic eye disease,"
Basugine 100IU/ml Injection,₹ 594.80,"Hypoglycemia (low blood glucose level),Injection site allergic reaction,Lipodystrophy (skin thickening or pits at the injection site),","Diabetes mellitus (Type 1 & Type 2),"
Meftal-Spas Tablet,₹ 46,"Dizziness,Dryness in mouth,Blurred vision,Nausea,Sleepiness,Weakness,Nervousness,","Menstrual pain,Abdominal cramp,Colicky pain,"
Buscopan Plus 10 mg/500 mg Tablet,₹ 55.70,"Constipation,Dryness in mouth,Blurred vision,Slow heart rate,","Abdominal cramp,"
Montek LC Tablet,₹ 179.50,"Diarrhea,Dryness in mouth,Fatigue,Headache,Nausea,Skin rash,Sleepiness,Vomiting,","Sneezing and runny nose due to allergies,Hay fever,Allergic skin conditions,"
Mucinac 600 Effervescent Tablet Orange Sugar Free,₹ 266.80,"Fever,Nausea,Vomiting,Rash,Gastrointestinal discomfort,","Respiratory disease with excessive mucus,"
Metrogyl 400 Tablet,₹ 21.39,"Headache,Dryness in mouth,Nausea,Metallic taste,","Bacterial infections,Parasitic infections,"
Manforce 100mg Tablet,₹ 232,"Flushing (sense of warmth in the face, ears, neck and trunk),Headache,Dizziness,Blurred vision,Muscle pain,Upset stomach,Rash,","Treatment of Erectile dysfunction,"
Montair-LC Tablet,₹ 176.55,"Diarrhea,Dryness in mouth,Fatigue,Headache,Nausea,Skin rash,Sleepiness,Vomiting,","Sneezing and runny nose due to allergies,Hay fever,Allergic skin conditions,"
Montair-LC Tablet,₹ 278.06,"Diarrhea,Dryness in mouth,Fatigue,Headache,Nausea,Skin rash,Sleepiness,Vomiting,","Sneezing and runny nose due to allergies,Hay fever,Allergic skin conditions,"
Monocef-O 200 Tablet,₹ 154.75,"Rash,Nausea,Diarrhea,","Bacterial infections,"
Meftal-Forte Tablet,₹ 44,"Nausea,Vomiting,Diarrhea,Indigestion,Loss of appetite,Heartburn,","Pain relief,Fever,"
Moxikind-CV 625 Tablet,₹ 153.74,"Vomiting,Nausea,Diarrhea,","Bacterial infections,"
Montina-L Tablet,₹ 59,"Diarrhea,Dryness in mouth,Fatigue,Headache,Nausea,Skin rash,Sleepiness,Vomiting,","Sneezing and runny nose due to allergies,Hay fever,Allergic skin conditions,"
Monocef 1gm Injection,₹ 60.20,"Diarrhea,Rash,Abnormal liver function tests,Decreased blood cells (red cells, white cells, and platelets),Injection site reactions (pain, swelling, redness),","Bacterial infections,"
Medrol 4mg Tablet,₹ 52.59,"Thinning of skin,Increased risk of infection,Reduction in bone density,Weight gain,Mood changes,Upset stomach,Behavioural changes,","Rheumatic disorder,Asthma,Systemic lupus erythematosus (SLE),Allergic conditions,Eye disorders,Skin disorders,"
Meganeuron OD Plus Capsule,₹ 129,"No common side effects seen,","Vitamin & mineral deficiency,"
Meprate 10mg Tablet,₹ 60,"Headache,Abdominal pain,Weakness,Dizziness,Irregular menstrual cycle,Nervousness,","Abnormal uterine bleeding,Amenorrhea,"
Montair FX Tablet,₹ 202.31,"Nausea,Diarrhea,Vomiting,Skin rash,Flu-like symptoms,Headache,Drowsiness,Dizziness,","Sneezing and runny nose due to allergies,"
Mucaine Gel Mint,₹ 182.97,"Constipation,Diarrhea,Allergic reaction,","Acidity,Heartburn,Stomach ulcers,"
Monticope Tablet,₹ 99.90,"Diarrhea,Dryness in mouth,Fatigue,Headache,Nausea,Skin rash,Sleepiness,Vomiting,","Sneezing and runny nose due to allergies,Hay fever,Allergic skin conditions,"
Morr F 5% Solution,₹ 725,"Application site reactions (burning, irritation, itching and redness),Dry skin,Impotence,Decreased libido,Ejaculation disorder,Breast enlargement,Breast tenderness in male,Skin rash,","Treatment of Hair loss,"
Manforce 50mg Tablet,₹ 270,"Flushing (sense of warmth in the face, ears, neck and trunk),Headache,Dizziness,Blurred vision,Muscle pain,Upset stomach,Rash,","Treatment of Erectile dysfunction,"
Mintop Forte 5% Solution,₹ 827,"Skin irritation,Itching,","Hair loss,"
Methycobal Tablet,₹ 121.80,"Nausea,Vomiting,Diarrhea,Loss of appetite,Headache,","Treatment of Vitamin B12 deficiency,Treatment of Pernicious Anemia,"
Minicycline Capsule,₹ 28.95,"Vomiting,Nausea,Diarrhea,","Treatment of Bacterial infections,Treatment of Acne,"
Manforce Staylong Tablet,₹ 240,"Nausea,Vomiting,Indigestion,Dryness in mouth,Headache,Flushing (sense of warmth in the face, ears, neck and trunk),Dizziness,Nosebleeds,","Treatment of Premature ejaculation,"
Medrol 16mg Tablet,₹ 136.98,"Thinning of skin,Increased risk of infection,Reduction in bone density,Weight gain,Mood changes,Upset stomach,Behavioural changes,","Rheumatic disorder,Asthma,Systemic lupus erythematosus (SLE),Allergic conditions,Eye disorders,Skin disorders,"
Medrol 8mg Tablet,₹ 78.37,"Thinning of skin,Increased risk of infection,Reduction in bone density,Weight gain,Mood changes,Upset stomach,Behavioural changes,","Rheumatic disorder,Asthma,Systemic lupus erythematosus (SLE),Allergic conditions,Eye disorders,Skin disorders,"
Microdox-LBX Capsule,₹ 75,"Diarrhea,Nausea,Vomiting,Stomach pain,Photosensitivity,","Bacterial infections,"
Mobizox Tablet,₹ 197,"Nausea,Vomiting,Heartburn,Stomach pain,Diarrhea,Loss of appetite,Dryness in mouth,","Treatment of Pain due to muscle spasm,"
Megalis 20 Tablet,₹ 356,"Flushing (sense of warmth in the face, ears, neck and trunk),Headache,Blurred vision,Muscle pain,Upset stomach,Rash,","Treatment of Erectile dysfunction,"
Meftal-P Suspension,₹ 33.50,"Nausea,Vomiting,Abdominal pain,Heartburn,Diarrhea,Dizziness,","Pain relief,Treatment of Fever,"
Histafree 120 Tablet,₹ 93.60,"Headache,Drowsiness,Dizziness,Nausea,","Treatment of Sneezing and runny nose due to allergies,Treatment of Allergic skin conditions,"
Happi-D Capsule SR,₹ 150,"Diarrhea,Stomach pain,Dryness in mouth,Headache,Dizziness,Flatulence,Weakness,Flu-like symptoms,","Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,"
HH Sone Cream,₹ 174,"Skin atrophy,Paresthesia (tingling or pricking sensation),Stinging sensation,","Skin conditions with inflammation & itching,"
Hylosoft Eye Drop,₹ 425,"Limited data available,","Treatment of Dry eyes,"
Haemaccel Infusion,₹ 463.43,"Injection site reactions (pain, swelling, redness),","Short term fluid replacement after trauma,"
Herpex 5% Cream,₹ 82.15,"Application site reactions (burning, irritation, itching and redness),","Herpes labialis,"
Hifenac SR Tablet,₹ 82,"Vomiting,Stomach pain/epigastric pain,Nausea,Indigestion,Diarrhea,Heartburn,Loss of appetite,","Pain relief,"
Hhfudic Cream,₹ 279,"Application site reactions (burning, irritation, itching and redness),","Skin infections,"
Hifen 200 DT Tablet,₹ 101,"Nausea,Stomach pain,Indigestion,Diarrhea,","Bacterial infections,"
Hadensa Ointment,₹ 130,"Limited data available,","Piles,"
Heparin 25000IU Injection,₹ 188.30,"Bleeding,Erythema (skin redness),","Prevention of Blood clots,"
Homide Eye Drop,₹ 32.50,"Stinging sensation,Burning sensation in eye,Increased sensitivity to light,","Eye examination,Uveitis,"
HCQS 300 Tablet,₹ 152.95,"Blurred vision,Increased sensitivity to light,","Rheumatoid arthritis,Systemic lupus erythematosus (SLE),"
Hicope 25 Tablet,₹ 36.30,"Sedation,Nausea,Vomiting,Upset stomach,Constipation,","Treatment of Anxiety,Treatment of Skin conditions with inflammation & itching,"
Humalog 100IU/ml Solution for Injection,₹ 819,"Hypoglycemia (low blood glucose level),Injection site allergic reaction,Lipodystrophy (skin thickening or pits at the injection site),Itching,Rash,Allergic reaction,","Diabetes mellitus (Type 1 & Type 2),"
Hifen Plus 200 mg/200 mg Tablet,₹ 108.85,"Nausea,Vomiting,Diarrhea,Stomach pain,Flatulence,","Bacterial infections,"
Hicope Syrup,₹ 65,"Sedation,Nausea,Vomiting,Upset stomach,Constipation,","Treatment of Anxiety,Treatment of Skin conditions with inflammation & itching,"
HHLite Cream,₹ 210,"Application site reactions (burning, irritation, itching and redness),","Melasma,"
Hyocimax Tablet,₹ 29.09,"Blurred vision,Increased heart rate,Dryness in mouth,Diarrhea,Dilatation of pupil,","Treatment of Pain due to smooth muscle spasm,Treatment of Irritable bowel syndrome,"
Halovate Cream,₹ 258,"Application site reactions (burning, irritation, itching and redness),","Skin conditions with inflammation & itching,"
Hypersol Ophthalmic Solution,₹ 65.28,"Burning sensation in eye,","Dry eyes,"
Hepakind 300mg Tablet,₹ 321.85,"Abdominal pain,Diarrhea,Hair loss,Itching,Nausea,Rash,","Primary biliary cirrhosis,Gallbladder stones,"
Histakind-M Tablet,₹ 139.45,"Nausea,Diarrhea,Vomiting,Skin rash,Flu-like symptoms,Headache,Drowsiness,Dizziness,","Sneezing and runny nose due to allergies,"
Hifenac TH Tablet,₹ 200,"Nausea,Vomiting,Heartburn,Stomach pain/epigastric pain,Loss of appetite,Diarrhea,","Pain due to muscle spasm,"
HHLEVO Tablet,₹ 69,"Sleepiness,Fatigue,Headache,Dryness in mouth,","Treatment of Allergic conditions,"
Hexidine Mouth Wash,₹ 54,"Taste change,Staining of teeth,Hard Dental Plaque,","Mouth infection,"
Hisone 10 Tablet,₹ 61.56,"Dizziness,Headache,Ankle swelling,Weakness,","Severe allergic reactions,Allergic conditions,Cancer,Skin disorders,Eye disorders,"
Hairjoy Foam,₹ 581.35,"Skin irritation,Itching,","Hair loss,"
Human Mixtard 50 Injection 40IU/ml,₹ 199.65,"Hypoglycemia (low blood glucose level),Injection site allergic reaction,Lipodystrophy (skin thickening or pits at the injection site),Itching,Rash,Edema (swelling),Weight gain,","Diabetes mellitus (Type 1 & Type 2),"
Hyvet  Eye Drop,₹ 251,"Limited data available,","Treatment of Dry eyes,"
New Ivermectol 12 Tablet,₹ 85,"No common side effects seen,","Parasitic infections,"
Norflox-TZ RF Tablet,₹ 88.83,"Nausea,Dryness in mouth,Metallic taste,Headache,","Diarrhea,Dysentery,"
Nurokind-LC  Tablet,₹ 194.85,"Nausea,Vomiting,Headache,","Nutritional deficiencies,"
Naxdom 500 Tablet,₹ 86.50,"Flu-like symptoms,Indigestion,Dryness in mouth,","Prevention of Migraine,"
Nurokind-Plus RF Capsule,₹ 99.90,"No common side effects seen,","Diabetic nerve pain,"
Normaxin Tablet,₹ 23,"Nausea,Constipation,Nervousness,Dryness in mouth,Difficulty in urination,Confusion,Sleepiness,Weakness,Dizziness,Blurred vision,Impaired coordination,","Irritable bowel syndrome,"
Nexito Plus Tablet,₹ 95,"Delayed ejaculation,Confusion,Vomiting,Memory impairment,Drowsiness,Tiredness,Anorgasmia (decreased orgasm),Low sexual desire,Nausea,Diarrhea,Uncoordinated body movements,","Anxiety disorder,"
Nefrosave Tablet,₹ 183.55,"Nausea,Vomiting,Rash,Fever,","Diabetic kidney disease,"
Nexpro RD 40  Capsule SR,₹ 154.45,"Diarrhea,Flatulence,Stomach pain,Dryness in mouth,Headache,","Gastroesophageal reflux disease (Acid reflux),Functional dyspepsia,"
Niftas Tablet SR,₹ 123,"Nausea,Vomiting,Diarrhea,","Treatment of Bacterial infections of urinary tract,"
Nexito 10 Tablet,₹ 90.49,"Anorgasmia (decreased orgasm) in women,Decreased libido,Delayed ejaculation,Fatigue,Increased sweating,Insomnia (difficulty in sleeping),Nausea,Sleepiness,","Depression,Anxiety disorder,Panic disorder,"
Nucoxia MR Tablet,₹ 251.60,"Diarrhea,Stomach pain,Indigestion,Flatulence,Swelling of hands,Feet swelling,Flu-like symptoms,","Pain due to muscle spasm,"
Nexpro 40 Tablet,₹ 150.10,"Headache,Dizziness,Dryness in mouth,Nausea,Abdominal pain,Constipation,Flatulence,Diarrhea,","Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,"
Nise Tablet,₹ 89.50,"Vomiting,Nausea,Diarrhea,","Pain relief,Fever,"
Norflox 400 Tablet,₹ 64.52,"Vomiting,Headache,Dizziness,Stomach pain,Nausea,Heartburn,","Bacterial infections,"
Nexito 5 Tablet,₹ 50.96,"Anorgasmia (decreased orgasm) in women,Decreased libido,Delayed ejaculation,Fatigue,Increased sweating,Insomnia (difficulty in sleeping),Nausea,Sleepiness,","Depression,Anxiety disorder,Panic disorder,"
Naxdom 250 Tablet,₹ 63.50,"Flu-like symptoms,Indigestion,Dryness in mouth,","Prevention of Migraine,"
Naprosyn 500 Tablet,₹ 62.70,"Indigestion,Abdominal pain,Nausea,Headache,Rash,Bruise,Edema (swelling),","Pain relief,"
Nodosis Tablet,₹ 49.30,"Stomach cramp,Flatulence,","Indigestion,"
Nikoran 5 Tablet,₹ 332.15,"Headache,Nausea,Vomiting,Weakness,Dizziness,Flushing (sense of warmth in the face, ears, neck and trunk),","Angina (heart-related chest pain),"
Nicip Tablet,₹ 39.50,"Vomiting,Nausea,Diarrhea,","Pain relief,Fever,"
Nicardia Retard 20 Tablet SR,₹ 53.01,"Dizziness,Edema (swelling),Fatigue,Flushing (sense of warmth in the face, ears, neck and trunk),Headache,Palpitations,Constipation,","Treatment of Hypertension (high blood pressure),Prevention of Angina (heart-related chest pain),Prevention of Heart attack,Prevention of Stroke,"
Neurobion RF Forte Injection,₹ 14.92,"No common side effects seen,","Nutritional deficiencies,"
Nicip Plus Tablet,₹ 62.70,"Nausea,Vomiting,Diarrhea,Increased liver enzymes,","Pain relief,"
Nitrocontin 2.6 Tablet CR,₹ 257,"Blurred vision,Decreased blood pressure,Dizziness,Headache,Increased heart rate,Lightheadedness,Paresthesia (tingling or pricking sensation),","Angina (heart-related chest pain),"
Nurokind-Gold Injection,₹ 24.99,"No common side effects seen,","Nutritional deficiencies,"
Normaxin RT Tablet,₹ 54,"Nausea,Constipation,Stomach pain,Diarrhea,Flatulence,Dryness in mouth,Blurred vision,Drowsiness,Impaired coordination,Confusion,Headache,Dizziness,Flu-like symptoms,Weakness,Difficulty in urination,","Irritable bowel syndrome,"
Novelon Tablet,₹ 218,"Nausea,Stomach pain,Headache,Irregular uterine bleeding,Weight gain,Breast pain,","Contraception,"
Nurokind-G  Tablet,₹ 142.89,"Dizziness,Sleepiness,Tiredness,Uncoordinated body movements,","Neuropathic pain,"
Niftran 100mg Capsule,₹ 87.69,"Nausea,Vomiting,Diarrhea,","Treatment of Bacterial infections of urinary tract,"
Esogress-D Capsule SR,₹ 118,"Diarrhea,Flatulence,Stomach pain,Dryness in mouth,Headache,","Gastroesophageal reflux disease (Acid reflux),Functional dyspepsia,"
Esomac 40 Tablet,₹ 138.01,"Headache,Dizziness,Dryness in mouth,Nausea,Abdominal pain,Constipation,Flatulence,Diarrhea,","Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,"
Etilaam Pro 20 Tablet,₹ 69,"Confusion,Memory impairment,Drowsiness,Slow heart rate,Tiredness,Uncoordinated body movements,Nightmare,Cold extremities,","Anxiety disorder,"
Eritel 40 Tablet,₹ 110.36,"Upper respiratory tract infection,Sinus infection,Back pain,Diarrhea,","Treatment of Hypertension (high blood pressure),Prevention of heart attack and stroke,Heart failure,"
Escot Cream,₹ 159,"Anal irritation,","Anal fissure,"
Eritel-CH 40 Tablet,₹ 193.25,"Dizziness,Back pain,Sinus infection,Diarrhea,Skin ulcer,","Hypertension (high blood pressure),"
Ebernet Cream,₹ 425.50,"Application site reactions (burning, irritation, itching and redness),","Fungal skin infections,"
Eumosone Cream,₹ 83.45,"Application site reactions (burning, irritation, itching and redness),","Skin conditions with inflammation & itching,"
Elosone-HT Cream,₹ 125,"Application site reactions (burning, irritation, itching and redness),","Melasma,"
Enzomac Forte Tablet,₹ 437,"No common side effects seen,","Pain relief,"
Evict Oral Solution,₹ 228.90,"Abdominal pain,Nausea,Vomiting,Diarrhea,","Constipation,Hepatic encephalopathy,"
Encorate Chrono 300 Tablet CR,₹ 70.25,"Nausea,Vomiting,Weight gain,Loss of appetite,Gum swelling,Headache,Sleepiness,Tremor,Hair loss,Liver injury,","Epilepsy,"
Esomac D 40  Capsule SR,₹ 161.05,"Diarrhea,Flatulence,Stomach pain,Dryness in mouth,Headache,","Gastroesophageal reflux disease (Acid reflux),Functional dyspepsia,"
